cell_id,split,cell_number,cycle_life,screening_label,matrix_rows,matrix_cols,matrix_mean,matrix_std,matrix_min,matrix_max,matrix_abs_mean,matrix_abs_max,cycle_mean_start,cycle_mean_end,cycle_mean_delta,cycle_std_start,cycle_std_end,cycle_std_delta,mean_slope_over_cycles,std_slope_over_cycles,q01,q05,q50,q95,q99
train_cell1,train,1,2160.0,Reuse,1000,99,0.7495646882298607,0.42720752922148303,-0.00047048,1.0682,0.749568507002163,1.0682,0.7492941779130233,0.7469353507177,-0.002358827195323321,0.4270567226355451,0.4261641999790366,-0.0008925226565085209,-2.7858616289392986e-05,-1.8731058753108224e-05,-3.731156e-05,0.001589395,1.0157,1.0657,1.0671
train_cell2,train,2,1434.0,Reuse,1000,99,0.956284299532892,2.4991134214100903,-1.213,45.337,0.956390771103205,45.337,0.7562267791783169,0.7503464639925451,-0.005880315185771812,0.4255189445653958,0.4238798425958234,-0.0016391019695723985,-0.009727853580575376,-0.006698848330920251,1.3108290000000002e-05,0.001668895,1.0159,1.0675,1.0691
train_cell3,train,3,1074.0,Reuse,1000,99,0.7411156822542925,0.4242819295530615,-0.00047913,1.0645,0.7411196638422916,1.0645,0.74432492548371,0.735017907728372,-0.009307017755337932,0.425854705253147,0.42204751289221165,-0.003807192360935352,-0.00010039291170989742,-4.392948198437606e-05,-4.18204e-05,0.0015466600000000007,1.0028,1.0613,1.063
train_cell4,train,4,870.0,Conditional Reuse,1000,99,0.7596126726569958,0.4293916977041357,-0.00045892,1.0823,0.7596159919458706,1.0823,0.7664920624766,0.751432901861141,-0.015059160615458977,0.43137618876417727,0.4267024298672569,-0.004673758896920344,-0.0001634787254126785,-5.245570473052397e-05,-6.632535999999997e-06,0.0016368600000000006,1.0220500000000001,1.0787,1.0808
train_cell5,train,5,788.0,Conditional Reuse,1000,99,0.7335988964938095,0.4152512756289968,-0.00039792,1.0416,0.7336006787646152,1.0416,0.734394431271551,0.72829515656414,-0.0060992747074110065,0.4156941125653811,0.4136189755020799,-0.0020751370633012023,-8.718825268652785e-05,-2.5790886855072058e-05,5.3274370000000004e-05,0.001651295,0.990585,1.0395,1.0407
train_cell6,train,6,719.0,Conditional Reuse,1000,99,0.7382619439303183,0.4207426889675921,-0.00060036,1.052,0.7382669189983226,1.052,0.7406528611413591,0.7319638939194,-0.00868896722195911,0.42182708133743463,0.41866838261258815,-0.003158698724846476,-0.00010494207075446038,-3.795439538886133e-05,-7.884899e-05,0.0014504850000000003,0.998875,1.0495,1.0508
train_cell7,train,7,857.0,Conditional Reuse,1000,99,0.7407908053293557,0.4238403954006431,-0.00051944,1.0625,0.7407956440303008,1.0625,0.74425598606101,0.7328615459359549,-0.011394440125055083,0.4254869232848615,0.4210557205322107,-0.004431202752650798,-0.00014430545492386202,-5.3644286771409716e-05,-7.240294e-05,0.0014857800000000003,1.0021,1.0587,1.0605
train_cell8,train,8,788.0,Conditional Reuse,1000,99,0.7467121937395145,0.42668879048694286,-0.0004518,1.0733,0.7467156835494956,1.0733,0.754570989298524,0.7362485675815801,-0.01832242171694387,0.4292816215696207,0.4230871910000765,-0.006194430569544163,-0.00021934765029051864,-7.307939843299826e-05,-1.712673e-05,0.0016000800000000003,1.0074,1.0699,1.0721
train_cell9,train,9,559.0,Conditional Reuse,1000,99,0.9942412396787049,2.7428570078330767,-9.7299,32.969,0.9950849388600612,32.969,0.7610565974868702,0.7321231667424,-0.02893343074447019,0.4272138257603422,0.4176120475251087,-0.009601778235233505,-0.011806423361914144,-0.0054046669897631705,6.92266e-05,0.001763795,1.0066,1.0662,1.0698
train_cell10,train,10,1017.0,Reuse,1000,99,0.7481672364087484,0.4232324496622922,-0.00044185,1.0663,0.7481700572011495,1.0663,0.7527979931236151,0.74081028079983,-0.011987712323785038,0.4246322606291615,0.42080045738433763,-0.0038318032448238504,-0.000146975084450654,-4.626105706547749e-05,1.5220900000000004e-05,0.0017003600000000006,1.0087,1.0604,1.0619
